"first_name","last_name","ssn","birthday","city","work"
"زینب","هاشمی","81041355243","1980-03-13","شهر کيان","گسترش سرمايه گذاري ايران خودرو"
"محمدجواد","همدانی","15292535857","1991-06-02","شهرستان مبینا","صنعتی صبوران پلیمر"
"رضا","رمضانی","46730468386","2006-04-29","بارسلونا","گمرک"
"كیان","جنتی","90857258083","1992-09-16","شهر مريم","بانك اقتصاد نوين"
"محيا","اشتری","61082455547","1989-06-16","بندر سارا","داروسازي روزدارو"
"محمدجواد","لاهوتی","90766043717","1985-12-10","استان كوثر","پتروشیمی ممسنی"
"بهار","مهدیان","93395191107","2010-06-13","استان باران","قند ثابت خراسان"
"نیایش","سرخوشیان","15003722057","2009-09-06","باغات پرهام","بين المللي توسعه ساختمان"
"مهسا","جهانی","19769920845","1996-12-28","شهرستان بنيامين","نساجي قائم شهر"
"سبحان","میردامادی","85113697370","1989-08-20","شرق كوثر","شیمیایی بهداش"
"امیر","شایع","10318184959","2008-06-09","غرب محدثه","قاچاقچی"
"سبحان","بهمنی","74538292115","2016-04-22","شهر دانیال","صنعتي مهر آباد"
"جو","بایدن","77132792314","1982-03-15","استان ایلیا","گمرک"
"هانيه","اکبر پور","81729767675","2019-11-14","استان اميرمهدي","حمل و نقل بین المللی خلیج فارس"
"بنیامین","پارسا","75899312417","2000-02-01","شرق عرفان","حمل و نقل آشنا راه سماء"
"عباس","آخوندی","40379122367","2006-06-16","شهرستان یلدا","قاچاقچی"
"مجتبی","مهدوی","42167291116","1973-09-15","اصفهان","سازمان بنادر"
"الناز","مهدیان","88999167612","1986-04-20","غرب معصومه","پالایش قطران ذغالسنگ اصفهان"
"آرمین","رودگر","31744245149","1994-06-22","دهستان حنانه","مديريت توسعه صنايع پتروشيمي"
"محمدامین","نیلوفری","93325550487","1983-03-30","شمال محمد","تولید فرآورده های لبنی کاله"
"اسرا","رفیعی","33446405930","1977-09-19","جنوب ستایش","موسسه پویندگان توسعه پارس"
"رضا","سلطانی","56564771843","1975-09-20","روستای مریم","همکاران سیستم مازندران"
"ریحانه","هدایت","33471662463","1989-05-27","شهرستان مهديس","داروسازي حكيم"
"آرين","حسنی","89099625554","1992-05-17","روستای محمدیاسین","پتروشيمي آبادان"
"بیژن","زنگنه","51481148599","2008-10-03","شمال سوگند","قاچاقچی"
"ساميار","احمدی","86491215045","1990-02-27","استان آیلین","کارت اعتباری ایران کیش"
"آرش","عباسی","68457066061","2007-04-20","غرب مبين","بازرسي مهندسي و صنعتي ايران"
"مختار","ثقفی","19081257821","1983-11-29","جنوب کوفه","گمرک"
"اسما","سماوات","75311164356","1970-03-07","باغات كوثر","نورد و لوله صفا"
"علی","مطهری","50534322010","2002-09-14","شهرستان دانیال","قاچاقچی"
"طاها","چنگیزی","69448536714","2014-08-19","شمال اميرمهدي","موننکو ایران"
"مهدیه","زمانی","31937916488","1991-08-17","باغات آرمین","سرمايه گذاري انديشه محوران"
"رقيه","زمانی","42043377667","1988-03-20","باغات آیدا","حمل و نقل خدمات دریایی آبادان"
"فاطمه","محمد پور","67320326336","1992-09-21","دهستان باران","مهندسان مشاور سازه"
"محدثه","حسنی","76468328120","2005-01-21","غرب ثنا","گروه صنعتي سپاهان"
"سينا","ولاشجردی","16867894969","1972-04-09","غرب بهار","تامین قطعات و تجهیزات سرو نیرو شیراز"
"فاطمه","شادروان","46091309461","2009-03-04","غرب زینب","قند شيروان قوچان وبجنورد"
"محسن","هاشمی","89501156330","2006-05-15","شرق معصومه","قاچاقچی"
"بنیامین","میردامادی","36191272611","1997-05-02","شهر الينا","کاشی فیروزه مشهد"
"امیررضا","سماوات","86778582069","1992-05-02","شهر محمدياسين","صنعتی کشاورزی شیرین خراسان"
"امیرحسین","آرمان","67245716854","1974-05-06","شهرستان کوهپایه","قاچاقچی"
"آتنا","نعمتی","64675292699","1995-05-22","روستای دانيال","لیزینگ اقتصاد نوین"
"فاطمه","ملکیان","18536238376","1991-12-05","شهر مبینا","پتروشیمی بیستون"
"محمدعلي","جعفر پور","70232533224","2011-09-15","شهر دانیال","فنر سازی زر گلپايگان"
"امیرمحمد","ملکیان","80309559746","1976-03-09","شرق ثنا","قند نقش جهان"
"النا","اشرفی","22319008932","1995-08-07","جنوب سبحان","جام جهان نما"
"رضا","نوری","69191273419","1978-03-27","استان سجاد","اورند پلاستیک"
"مهدیس","هومن","36405577647","2000-05-01","شهرستان محمدپارسا","صدا و سیما"
"هلیا","سمسار","45892798683","2003-11-11","غرب یوسف","گسترش صنايع و خدمات کشاورزي"
"آرش","احمدی","97321613111","1976-12-30","باغات محمدپارسا","گروه كاني های غير فلزي"
"متین","کریمی","68243571508","1982-09-04","بندر علیرضا","صنایع شیر ایران (پگاه)"
"مبینا","هاشمی","87179915573","1981-02-03","استان نازنين","قند اصفهان"
"ابراهیم","حامدی","19652613981","1984-02-27","شهر سبحان","قاچاقچی"
"علي","عبدالمالکی","81479111671","2002-02-22","دهستان عرشیا","گروه صنایع غذایی"
"نرگس","منصوری","95975015130","1995-06-09","شمال اميررضا","مرغ اجداد زربال"
"سارینا","مهدیان","62682190910","2005-08-19","جنوب آیلین","هلدینگ دامپروری شیروگوشت پارس"
"رقیه","وثاق","31190689286","1993-07-11","شرق محمدامين","کشت وصنعت پیوند هراز"
"امیر","تتلو","46519294740","1993-12-09","روستای محمدجواد","قاچاقچی"
"عباس","الوندی","99015504057","1985-03-29","شرق بنيامين","سرمايه گذاري توسعه معادن و فلزات"
"امیرحسین","مقصودلو","59095165555","1974-11-09","آنتالیا","گمرک"
"آريا","تهرانی","87474057898","1994-01-12","شهر علي","ارج"
"دانیال","محجوب","10969146971","2001-05-01","شهر امیرمحمد","لامیران – تیغ ایران"
"مرحوم","توپاک","82410881555","1974-08-12","روستای نازنین","قاچاقچی"
"یگانه","هنری","51352605215","1994-02-04","شهرستان محيا","گروه قند و شکر"
"آریا","رستمی","21840356076","1992-12-26","شهر هانیه","گروه مبلمان و مصنوعات ديگر"
"ساميار","نوروزی","51074823863","1978-02-20","استان پرهام","اتصال استیل هما"
