"ssn","bank_name","IBAN","account_id"
"45892798683","ملت","IR768717356314738155708786","123775"
"45892798683","تجارت","IR425740648784943071068650","923756"
"68243571508","سرمایه","IR746403160492270431365700","720487"
"68243571508","تجارت","IR609494286451837188246897","966625"
"68243571508","ملی","IR655526322051171482996278","544013"
"68243571508","ملی","IR450641037319952637127895","760329"
"87179915573","سرمایه","IR760893951528241389055836","487291"
"87179915573","صادرات","IR889808002847414182581562","738633"
"87179915573","صادرات","IR816896543320243725423131","120456"
"19652613981","ملت","IR359350423168980133654010","826529"
"95975015130","سرمایه","IR535642501343435871547856","149847"
"95975015130","تجارت","IR767476055015334284132870","663926"
"95975015130","سرمایه","IR889931541092559603524156","190028"
"62682190910","ملی","IR249147004786649330265970","646215"
"62682190910","صادرات","IR755517492259373922070478","895502"
"62682190910","ملی","IR727753435538123741325549","538526"
"62682190910","ملی","IR465340097600904937490686","307708"
"31190689286","صادرات","IR584390242126684788499317","204065"
"46519294740","تجارت","IR376677868336430411877499","320567"
"99015504057","ملت","IR713276395355469936198053","959430"
"59095165555","سرمایه","IR906242912419661574610376","241718"
"87474057898","سرمایه","IR743741429773763023793304","167531"
"87474057898","صادرات","IR487824787195849069891272","925369"
"82410881555","ملت","IR367159189912385058490718","710039"
"82410881555","ملی","IR625072723396157913932350","618215"
"21840356076","سرمایه","IR318374434414513156153545","943440"
"21840356076","سرمایه","IR572949227271247161047709","127024"
"21840356076","ملی","IR106164717612986548363219","547087"
"21840356076","سرمایه","IR742939894777784128606807","158752"
"51074823863","ملت","IR867732459225516764229820","689912"
